Episode 129, Reward: -22074.07, Epsilon: 0.52, Mean wait: 3.89, Emissions: 2.60
Episode 130, Reward: -21569.12, Epsilon: 0.52, Mean wait: 5.05, Emissions: 2.56
Episode 131, Reward: -24662.12, Epsilon: 0.52, Mean wait: 5.49, Emissions: 2.74
Episode 132, Reward: -22001.32, Epsilon: 0.52, Mean wait: 2.59, Emissions: 2.87
Episode 133, Reward: -24515.94, Epsilon: 0.51, Mean wait: 5.24, Emissions: 2.82
Episode 134, Reward: -25887.56, Epsilon: 0.51, Mean wait: 4.15, Emissions: 2.97
Episode 135, Reward: -18780.65, Epsilon: 0.51, Mean wait: 3.97, Emissions: 2.49
Episode 136, Reward: -23303.42, Epsilon: 0.51, Mean wait: 4.68, Emissions: 2.59
Episode 137, Reward: -22326.30, Epsilon: 0.50, Mean wait: 3.53, Emissions: 2.71
Episode 138, Reward: -23138.76, Epsilon: 0.50, Mean wait: 6.39, Emissions: 2.53
Episode 139, Reward: -24279.86, Epsilon: 0.50, Mean wait: 3.65, Emissions: 2.80
Episode 140, Reward: -26395.83, Epsilon: 0.50, Mean wait: 5.27, Emissions: 2.75
Episode 141, Reward: -24284.23, Epsilon: 0.49, Mean wait: 6.15, Emissions: 2.68
Episode 142, Reward: -23064.14, Epsilon: 0.49, Mean wait: 4.89, Emissions: 2.74
Episode 143, Reward: -23298.59, Epsilon: 0.49, Mean wait: 2.95, Emissions: 2.81
Episode 144, Reward: -19455.52, Epsilon: 0.49, Mean wait: 4.28, Emissions: 2.44
Episode 145, Reward: -21047.28, Epsilon: 0.48, Mean wait: 4.08, Emissions: 2.61
Episode 146, Reward: -20680.63, Epsilon: 0.48, Mean wait: 3.28, Emissions: 2.69
Episode 147, Reward: -19300.21, Epsilon: 0.48, Mean wait: 4.66, Emissions: 2.45
Episode 148, Reward: -22327.98, Epsilon: 0.48, Mean wait: 6.23, Emissions: 2.52
Episode 149, Reward: -22998.46, Epsilon: 0.47, Mean wait: 6.72, Emissions: 2.49
Episode 150, Reward: -23539.67, Epsilon: 0.47, Mean wait: 5.50, Emissions: 2.59
Episode 151, Reward: -19453.95, Epsilon: 0.47, Mean wait: 3.07, Emissions: 2.53
Episode 152, Reward: -19847.77, Epsilon: 0.47, Mean wait: 5.60, Emissions: 2.46
Episode 153, Reward: -23630.60, Epsilon: 0.46, Mean wait: 4.49, Emissions: 2.67
Episode 154, Reward: -21911.72, Epsilon: 0.46, Mean wait: 3.97, Emissions: 2.61
Episode 155, Reward: -16702.93, Epsilon: 0.46, Mean wait: 2.26, Emissions: 2.50
Episode 156, Reward: -23161.07, Epsilon: 0.46, Mean wait: 4.29, Emissions: 2.64
Episode 157, Reward: -29655.65, Epsilon: 0.46, Mean wait: 9.07, Emissions: 3.16
Episode 158, Reward: -23514.22, Epsilon: 0.45, Mean wait: 3.14, Emissions: 2.96
Episode 159, Reward: -19574.87, Epsilon: 0.45, Mean wait: 3.49, Emissions: 2.57
Episode 160, Reward: -19448.74, Epsilon: 0.45, Mean wait: 3.59, Emissions: 2.54
Episode 161, Reward: -20475.54, Epsilon: 0.45, Mean wait: 3.51, Emissions: 2.48
Episode 162, Reward: -23135.98, Epsilon: 0.44, Mean wait: 4.19, Emissions: 2.60
Episode 163, Reward: -21095.44, Epsilon: 0.44, Mean wait: 6.94, Emissions: 2.43
Episode 164, Reward: -15776.30, Epsilon: 0.44, Mean wait: 2.27, Emissions: 2.24
Episode 165, Reward: -17223.21, Epsilon: 0.44, Mean wait: 3.99, Emissions: 2.29
Episode 166, Reward: -21975.47, Epsilon: 0.44, Mean wait: 5.67, Emissions: 2.65
